date,ticker,price
1/1/2024,AAPL,150.9671278
1/2/2024,AAPL,149.9520909
1/3/2024,AAPL,148.4048559
1/4/2024,AAPL,148.9519474
1/5/2024,AAPL,148.7833654
1/6/2024,AAPL,148.5101023
1/7/2024,AAPL,147.6888117
1/8/2024,AAPL,148.0300706
1/9/2024,AAPL,146.3935954
1/10/2024,AAPL,145.7948944
1/11/2024,AAPL,147.8886202
1/12/2024,AAPL,149.1849697
1/13/2024,AAPL,149.8506432
1/14/2024,AAPL,149.134988
1/15/2024,AAPL,149.6097352
1/16/2024,AAPL,150.4541587
1/17/2024,AAPL,149.9239645
1/18/2024,AAPL,148.6810187
1/19/2024,AAPL,149.2543035
1/20/2024,AAPL,146.5095126
