date,ticker,col1,col2
1/1/2024,AAPL,150.9671278,0.603290503
1/2/2024,AAPL,149.9520909,0.293677004
1/3/2024,AAPL,148.4048559,0.678397238
1/4/2024,AAPL,148.9519474,0.770300743
1/5/2024,AAPL,148.7833654,0.206653306
1/6/2024,AAPL,,0.273186995
1/7/2024,AAPL,147.6888117,
1/8/2024,AAPL,148.0300706,0.199208183
1/9/2024,AAPL,146.3935954,0.537720592
1/10/2024,AAPL,145.7948944,0.02815271
1/11/2024,AAPL,147.8886202,0.280723723
1/12/2024,AAPL,149.1849697,0.570014948
1/13/2024,AAPL,149.8506432,0.992449294
1/14/2024,AAPL,,0.475759673
1/15/2024,AAPL,149.6097352,0.260428447
1/16/2024,AAPL,150.4541587,0.73651854
1/17/2024,AAPL,149.9239645,0.874577052
1/18/2024,AAPL,148.6810187,0.650914782
1/19/2024,AAPL,149.2543035,0.11646902
1/20/2024,AAPL,146.5095126,0.41490289
